Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
reqSorceryLightningLevel0,progression,Attribute,,,"Lightning Sorcery [d1d1d1]MUNDANE[-]",,,,,,,,,,,,,,
reqSorceryLightningLevel20,progression,Attribute,,,"Lightning Sorcery Level 20 [2f9970]INITIATE[-]",,,,,,,,,,,,,,
reqSorceryLightningLevel40,progression,Attribute,,,"Lightning Sorcery Level 40 [36dc2a]NOVICE[-]",,,,,,,,,,,,,,
reqSorceryLightningLevel60,progression,Attribute,,,"Lightning Sorcery Level 60 [407fff]ADEPT[-]",,,,,,,,,,,,,,
reqSorceryLightningLevel80,progression,Attribute,,,"Lightning Sorcery Level 80 [ba3fd0]EXPERT[-]",,,,,,,,,,,,,,
reqSorceryLightningLevel100,progression,Attribute,,,"Lightning Sorcery Level 100 [e60000]MASTER[-]",,,,,,,,,,,,,,
reqSorceryUnholyLevel0,progression,Attribute,,,"Unholy Sorcery [d1d1d1]MUNDANE[-]",,,,,,,,,,,,,,
reqSorceryUnholyLevel20,progression,Attribute,,,"Unholy Sorcery Level 20 [2f9970]INITIATE[-]",,,,,,,,,,,,,,
reqSorceryUnholyLevel40,progression,Attribute,,,"Unholy Sorcery Level 40 [36dc2a]NOVICE[-]",,,,,,,,,,,,,,
reqSorceryUnholyLevel60,progression,Attribute,,,"Unholy Sorcery Level 60 [407fff]ADEPT[-]",,,,,,,,,,,,,,
reqSorceryUnholyLevel80,progression,Attribute,,,"Unholy Sorcery Level 80 [ba3fd0]EXPERT[-]",,,,,,,,,,,,,,
reqSorceryUnholyLevel100,progression,Attribute,,,"Unholy Sorcery Level 100 [e60000]MASTER[-]",,,,,,,,,,,,,,
reqSorceryHolyLevel0,progression,Attribute,,,"Holy Sorcery [d1d1d1]MUNDANE[-]",,,,,,,,,,,,,,
reqSorceryHolyLevel20,progression,Attribute,,,"Holy Sorcery Level 20 [2f9970]INITIATE[-]",,,,,,,,,,,,,,
reqSorceryHolyLevel40,progression,Attribute,,,"Holy Sorcery Level 40 [36dc2a]NOVICE[-]",,,,,,,,,,,,,,
reqSorceryHolyLevel60,progression,Attribute,,,"Holy Sorcery Level 60 [407fff]ADEPT[-]",,,,,,,,,,,,,,
reqSorceryHolyLevel80,progression,Attribute,,,"Holy Sorcery Level 80 [ba3fd0]EXPERT[-]",,,,,,,,,,,,,,
reqSorceryHolyLevel100,progression,Attribute,,,"Holy Sorcery Level 100 [e60000]MASTER[-]",,,,,,,,,,,,,,

reqSorceryLBC,progression,Attribute,,,"Improve Sorcery through [I]Learn By Casting[/I]: Arcane, Omni and Elemental Sorceries.",,,,,,,,,,,,,,
reqSorceryFireLBC,progression,Attribute,,,"Improve Fire Sorcery through [I]Learn By Casting[/I]: Fire and Omni Sorceries.",,,,,,,,,,,,,,
reqSorceryIceLBC,progression,Attribute,,,"Improve Ice Sorcery through [I]Learn By Casting[/I]: Ice and Omni Sorceries.",,,,,,,,,,,,,,
reqSorceryLightningLBC,progression,Attribute,,,"Improve Lightning Sorcery through [I]Learn By Casting[/I]: Lightning and Omni Sorceries.",,,,,,,,,,,,,,
reqSorceryUnholyLBC,progression,Attribute,,,"Improve Unholy Sorcery through [I]Learn By Casting[/I]: Unholy Sorceries. Unlock Unholy Sorcery through the Trial of Darkness Questline. Dabbling in Dark Magic locks the ability to pursue Light Magic.",,,,,,,,,,,,,,
reqSorceryHolyLBC,progression,Attribute,,,"Improve Holy Sorcery through [I]Learn By Casting[/I]: Holy Sorceries. Unlock Holy Sorcery through the Trial of Light Questline. Dabbling in Light Magic locks the ability to pursue Dark Magic.",,,,,,,,,,,,,,

reqSorceryUnlockElixirAttFire,progression,Attribute,,,"[U]Requires[/U]: [36dc2a]Fire Skill Elixir[-]",,,,,,,,,,,,,,
reqSorceryUnlockElixirAttIce,progression,Attribute,,,"[U]Requires[/U]: [36dc2a]Ice Skill Elixir[-]",,,,,,,,,,,,,,
reqSorceryUnlockElixirAttLightning,progression,Attribute,,,"[U]Requires[/U]: [36dc2a]Lightning Skill Elixir[-]",,,,,,,,,,,,,,

reqSorcerySupportLevel01,progression,Perk,,,"[d7dce4]SILVER KEY[-]: www.SorceryMod.com",,,,,,,,,,,,,,
reqSorcerySupportLevel02,progression,Perk,,,"[e3bb70]GOLD KEY[-]: www.SorceryMod.com",,,,,,,,,,,,,,


buffSpiritResourceName,buffs,Buff,,x,"[d1d1d1]SPIRIT RESOURCE[-]",,,,,,,,,,,,,,
buffSpiritResourceName2,buffs,Buff,,x,"Spirit Total [d1d1d1]{cvar($spiritMax:0)}[-]",,,,,,,,,,,,,,
buffSpiritResourceDesc,buffs,Buff,,x,"[d1d1d1][I]Spirit is the mana, or arcane energy, required to perform all Sorcery[-][/I]:\n• Maximum Spirit: [ae92d5]{cvar(.spiritMaxTotalDisplay:0)}[-]\n• Available Maximum Spirit: [ae92d5]{cvar($spiritMax:0)}[-]\n• Reserved Maximum Spirit: [ae92d5]{cvar(.spiritMaxSubtractDisplay:0.0)}%[-]\n• Spirit Regeneration: [ae92d5]{cvar($spiritRegen:0.00)}/sec[-]\n\n[d1d1d1][I]Spirit is your life force as a Sorcerer, you are but mundane without it. Spells, Runes and other Sorceries cannot function without Spirit[I][-]",,,,,,,,,,,,,,
buffSorceryUIName,buffs,Buff,,x,"[ffffff][-]",,,,,,,,,,,,,,
buffSorceryUIDesc,buffs,Buff,,x,"The number reflected here is the current stat value.",,,,,,,,,,,,,,
buffSorceryUI_SpiritMaxDesc,buffs,Buff,,x,"[d1d1d1][I]Raising Max Spirit allows you to perform more frequent and powerful Sorceries before requiring rest[-][/I]:\n• Maximum Spirit: [ae92d5]{cvar(.spiritMaxTotalDisplay:0)}[-]\n• Available Maximum Spirit: [ae92d5]{cvar($spiritMax:0)}[-]\n• Reserved Maximum Spirit: [ae92d5]{cvar(.spiritMaxSubtractDisplay:0.0)}%[-]\n• Spirit Regeneration: [ae92d5]{cvar($spiritRegen:0.00)}/sec[-]\n\n[d1d1d1][I]Upon exhausting your Spirit to critical level, you'll begin drawing lifeforce from the world in the form a Spirit Aura. This aura will dissipate upon recovering above 10% of your Maximum Spirit.[I][-]",,,,,,,,,,,,,,
buffSorceryUI_SpiritRegenDesc,buffs,Buff,,x,"Increases the rate at which your Spirit Regenerates by [ae92d5]{cvar($spiritRegen:0.00)}/sec[-]. Raising Spirit Regen is key to quickly replenishing your Spirit.\n• Spirit Burden reduces regen by [ae92d5]-0.00[-] \n\n[d1d1d1][I]Spirit is your life force as a Sorcerer, you are but mundane without it.[I][-]",,,,,,,,,,,,,,
buffSorceryUI_SpellSpeedDesc,buffs,Buff,,x,"[d1d1d1][I]Showing highest Cast Speed first.[/I][-] Your total Spellcasting Speed for all Elements is [ae92d5]{cvar(.sorcerySpellSpeedDisplay:0)}%[-]. Increasing Casting Speed enables you to cast spells more quickly.\n• [dc6e00]Fire[-] Spellcasting Speed increased by [ae92d5]{cvar(.sorceryFireSpellSpeedDisplay:0)}%[-]\n• [006eaa]Ice[-] Spellcasting Speed increased by [ae92d5]{cvar(.sorceryIceSpellSpeedDisplay:0)}%[-]\n• [9650ff]Lightning[-] Spellcasting Speed increased by [ae92d5]{cvar(.sorceryLightningSpellSpeedDisplay:0)}%[-]\n\n[d1d1d1][I]What good is all that power if they get to you first?[I][-]",,,,,,,,,,,,,,
buffSorceryUI_SpellChargeDesc,buffs,Buff,,x,"[d1d1d1][I]Showing highest Charge Speed first.[/I][-] Decreases the time it takes all Spell Weapons to charge by [ae92d5]{cvar(.sorcerySpellChargeDisplay:0)}%[-]. Increasing Spell Charge enables you to more quickly charge up your spells and weapons for maximum devastation.\n• [dc6e00]Fire[-] Charge Speed increased by [ae92d5]{cvar(.sorceryFireSpellChargeDisplay:0)}%[-]\n• [006eaa]Ice[-] Charge Speed increased by [ae92d5]{cvar(.sorceryIceSpellChargeDisplay:0)}%[-]\n• [9650ff]Lightning[-] Charge Speed increased by [ae92d5]{cvar(.sorceryLightningSpellChargeDisplay:0)}%[-]\n\n[d1d1d1][I]Failure to charge your spells and weapons prior to use is a massive loss of power.[I][-]",,,,,,,,,,,,,,
buffSorceryUI_FirePowerDesc,buffs,Buff,,x,"You deal [ae92d5]{cvar(.fireSorceryDisplay:0)}%[-] total Fire Sorcery Damage. Applies to all Fire Sorcery: [d1d1d1][I]Spells, Weapons, Ammo, Potions, Runes and Abilities.[/I][-]\n• Total Fire [ae92d5]Essence[-] Find [ae92d5]{cvar(.sorceryFireHarvestTotalDisplay:0)}%[-]\n• Permanent [ae92d5]Damage[-] Boost [ae92d5]+{cvar(.sorceryFireDamagePermUI:0)}%[-]\n• Permanent [ae92d5]Essence Find[-] Boost [ae92d5]+{cvar(.sorceryFireHarvestPermUI:0)}%[-]\n[d1d1d1][I]Exploding and Cremating foes to mere ash are the specialties of a Fire Sorcerer.[/I][-]",,,,,,,,,,,,,,
buffSorceryUI_IcePowerDesc,buffs,Buff,,x,"You deal [ae92d5]{cvar(.iceSorceryDisplay:0)}%[-] total Ice Sorcery Damage. Applies to all Ice Sorcery: [d1d1d1][I]Spells, Weapons, Ammo, Potions, Runes and Abilities.[/I][-]\n• Total Ice [ae92d5]Essence[-] Find [ae92d5]{cvar(.sorceryIceHarvestTotalDisplay:0)}%[-]\n• Permanent [ae92d5]Damage[-] Boost [ae92d5]+{cvar(.sorceryIceDamagePermUI:0)}%[-]\n• Permanent [ae92d5]Essence Find[-] Boost [ae92d5]+{cvar(.sorceryIceHarvestPermUI:0)}%[-]\n\n\n[d1d1d1][I]Freezing and Shattering foes into bits are the specialties of an Ice Sorcerer.[/I][-]",,,,,,,,,,,,,,
buffSorceryUI_LightningPowerDesc,buffs,Buff,,x,"You deal [ae92d5]{cvar(.lightningSorceryDisplay:0)}%[-] total Lightning Sorcery Damage. Applies to all Lightning Sorcery: [d1d1d1][I]Spells, Weapons, Ammo, Potions, Runes and Abilities.[/I][-]\n• Total Lightning [ae92d5]Essence[-] Find [ae92d5]{cvar(.sorceryLightningHarvestTotalDisplay:0)}%[-]\n• Permanent [ae92d5]Damage[-] Boost [ae92d5]+{cvar(.sorceryLightningDamagePermUI:0)}%[-]\n• Permanent [ae92d5]Essence Find[-] Boost [ae92d5]+{cvar(.sorceryLightningHarvestPermUI:0)}%[-]\n[d1d1d1][I]Electrocuting and Debilitating foes amass are the specialties of a Lightning Sorcerer.[/I][-]",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetArcaneName,buffs,Buff,,x,"[ae92d5]Arcane[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetArcaneDesc,buffs,Buff,,x,"You are wearing [ae92d5]{cvar(.ArcaneArmorSetPieces:0)}[-]/10 pieces of the [ae92d5]Arcane Armor Set[-]. Complete this Armor Set and reach Armor Perk Level 3 (Adept) to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryArmorSet_Arcane,buffs,Buff,,,Complete Arcane Armor Set,,,,,,,,,,,,,,
buffSorceryArmorSet_ArcaneName,buffs,Buff,,,Complete Arcane Armor Set,,,,,,,,,,,,,,
buffSorceryArmorSet_ArcaneDesc,buffs,Buff,,,"You are wearing the full Arcane Armor Set!\nPassive Set bonuses unlock at Armor Perk Level 3 (Adept):\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryArmorSet_FireName,buffs,Buff,,,Complete Fire Armor Set,,,,,,,,,,,,,,
buffSorceryArmorSet_FireDesc,buffs,Buff,,,"You are wearing the full Fire Armor Set!\nPassive Set bonuses unlock at Armor Perk Level 3 (Adept):\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryArmorSet_IceName,buffs,Buff,,,Complete Ice Armor Set,,,,,,,,,,,,,,
buffSorceryArmorSet_IceDesc,buffs,Buff,,,"You are wearing the full Ice Armor Set!\nPassive Set bonuses unlock at Armor Perk Level 3 (Adept):\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryArmorSet_LightningName,buffs,Buff,,,Complete Lightning Armor Set,,,,,,,,,,,,,,
buffSorceryArmorSet_LightningDesc,buffs,Buff,,,"You are wearing the full Lightning Armor Set!\nPassive Set bonuses unlock at Armor Perk Level 3 (Adept):\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
requirementFullSorcererArmorSet,Quest,Requirement Group,,,Wear Full Sorcerer Armor Set (10/10),,,,,,,,,,,,,,
requirementHoldingStaff,Quest,Requirement Group,,,Holding Staff,,,,,,,,,,,,,,
requirementHoldingSpellcast,Quest,Requirement Group,,,Holding Spellcast,,,,,,,,,,,,,,
requirementHoldingWand,Quest,Requirement Group,,,Holding Wand,,,,,,,,,,,,,,

summonFamiliarArcane_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Arcane Familiar",,,,,,,,,,,,,,
summonFamiliarArcane_DurationDesc,buffs,Buff,,,"You have active Arcane Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Arcane Familiars will replace existing summons.",,,,,,,,,,,,,,
summonFamiliarFire_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Fire Familiar",,,,,,,,,,,,,,
summonFamiliarFire_DurationDesc,buffs,Buff,,,"You have active Fire Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Fire Familiars will replace existing summons.",,,,,,,,,,,,,,
summonFamiliarIce_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Ice Familiar",,,,,,,,,,,,,,
summonFamiliarIce_DurationDesc,buffs,Buff,,,"You have active Ice Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Ice Familiars will replace existing summons.",,,,,,,,,,,,,,
summonFamiliarLightning_DurationName,buffs,Buff,,,"[ae92d5]Summon[-]: Lightning Familiar",,,,,,,,,,,,,,
summonFamiliarLightning_DurationDesc,buffs,Buff,,,"You have active Lightning Familiar Summons that will Despawn when this buff expires.\n\nSummoning new Lightning Familiars will replace existing summons.",,,,,,,,,,,,,,

buffSorceryPerks_ArmorSetFireName,buffs,Buff,,x,"[dc6e00]Fire[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetFireDesc,buffs,Buff,,x,"You are wearing [ae92d5]{cvar(.FireArmorSetPieces:0)}[-]/10 pieces of the [ae92d5]Fire Armor Set[-]. Complete this Armor Set and reach Armor Perk Level 3 (Adept) to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetIceName,buffs,Buff,,x,"[006eaa]Ice[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetIceDesc,buffs,Buff,,x,"You are wearing [ae92d5]{cvar(.IceArmorSetPieces:0)}[-]/10 pieces of the [ae92d5]Ice Armor Set[-]. Complete this Armor Set and reach Armor Perk Level 3 (Adept) to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetLightningName,buffs,Buff,,x,"[9650ff]Lightning[-] Armor Set",,,,,,,,,,,,,,
buffSorceryPerks_ArmorSetLightningDesc,buffs,Buff,,x,"You are wearing [ae92d5]{cvar(.LightningArmorSetPieces:0)}[-]/10 pieces of the [ae92d5]Lightning Armor Set[-]. Complete this Armor Set and reach Armor Perk Level 3 (Adept) to unlock:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5]1.0[-]\n\n[d1d1d1][I]Set Abilities coming soon![/I][-]",,,,,,,,,,,,,,
buffSorceryPerk_AttFireName,buffs,Buff,,x,"Fire Sorcerer",,,,,,,,,,,,,,
buffSorceryPerk_AttFireDesc,buffs,Buff,,x,"Your training in Fire Sorcery is granting you the following perks:\n• Hot weather resists increased by [ae92d5]+50[-]\n• Cold weather resists increased by [ae92d5]+25[-]\n• Movement Speed increased by [ae92d5]+10%[-]\n\n[36dc2a]Fire Sorcery is improved by consuming Fire Elixirs[-]",,,,,,,,,,,,,,
buffSorceryPerk_AttIceName,buffs,Buff,,x,"Ice Sorcerer",,,,,,,,,,,,,,
buffSorceryPerk_AttIceDesc,buffs,Buff,,x,"Your training in Ice Sorcery is granting you the following perks:\n• Cold weather resists increased by [ae92d5]+50[-]\n• Hot weather resists increased by [ae92d5]+25[-]\n• Movement Speed increased by [ae92d5]+10%[-]\n\n[36dc2a]Ice Sorcery is improved by consuming Ice Elixirs[-]",,,,,,,,,,,,,,
buffSorceryPerk_AttLightningName,buffs,Buff,,x,"Lightning Sorcerer",,,,,,,,,,,,,,
buffSorceryPerk_AttLightningDesc,buffs,Buff,,x,"Your training in Lightning Sorcery is granting you the following perks:\n• Hot weather resists increased by [ae92d5]+50[-]\n• Movement Speed increased by [ae92d5]+15%[-]\n\n[36dc2a]Lightning Sorcery is improved by consuming Lightning Elixirs[-]",,,,,,,,,,,,,,
buffSorceryPerk_SpiritMastery_AllyName,buffs,Buff,,x,"Ally [ae92d5]Spirit[-] Boost",,,,,,,,,,,,,,
buffSorceryPerk_SpiritMastery_AllyDesc,buffs,Buff,,x,"Your [ae92d5]Spirit[-] is boosted by a [e60000]Master[-] Spiritist ally:\n• Maximum Spirit is increased by [ae92d5]50[-]\n• Spirit Regeneration is increased by [ae92d5].5[-]",,,,,,,,,,,,,,
buffSorceryPerk_EssenceMastery_AllyName,buffs,Buff,,x,"Ally [ae92d5]Essence[-] Boost",,,,,,,,,,,,,,
buffSorceryPerk_EssenceMastery_AllyDesc,buffs,Buff,,x,"All [ae92d5]Essence[-] Harvesting is boosted by a [e60000]Master[-] Empath ally:\n• All Essence Find is increased by [ae92d5]50%[-]",,,,,,,,,,,,,,
buffSorceryPerk_RuneMastery_AllyName,buffs,Buff,,x,"Ally [ae92d5]Rune Effectiveness[-] Boost",,,,,,,,,,,,,,
buffSorceryPerk_RuneMastery_AllyDesc,buffs,Buff,,x,"Your [ae92d5]Rune Effectiveness[-] is boosted by a [e60000]Master[-] Enchanter ally:\n• Maximum Rune Effectiveness is increased by [ae92d5]25%[-]",,,,,,,,,,,,,,
buffPlayer_FireTouchedName,buffs,Buff,,x,"Fire [ae92d5]Touched[-]",,,,,
buffPlayer_FireTouchedDesc,buffs,Buff,,x,"A recent encounter has left you Fire Touched, imbuing you with supernatural power for a limited time:\n• [ae92d5]HARVEST[-]: +100% Fire Essence Find\n• [ae92d5]HASTE[-]: +Attack, Harvest, Movement Speed\n• [ae92d5]REGEN[-]: +Health, Stamina, Spirit Regen\n• [ae92d5]FORTUNE[-]: +Loot Bonus and increased Luck",,,,,
buffPlayer_IceTouchedName,buffs,Buff,,x,"Ice [ae92d5]Touched[-]",,,,,
buffPlayer_IceTouchedDesc,buffs,Buff,,x,"A recent encounter has left you Ice Touched, imbuing you with supernatural power for a limited time:\n• [ae92d5]HARVEST[-]: +100% Ice Essence Find\n• [ae92d5]HASTE[-]: +Attack, Harvest, Movement Speed\n• [ae92d5]REGEN[-]: +Health, Stamina, Spirit Regen\n• [ae92d5]FORTUNE[-]: +Loot Bonus and increased Luck",,,,,
buffPlayer_LightningTouchedName,buffs,Buff,,x,"Lightning [ae92d5]Touched[-]",,,,,
buffPlayer_LightningTouchedDesc,buffs,Buff,,x,"A recent encounter has left you Lightning Touched, imbuing you with supernatural power for a limited time:\n• [ae92d5]HARVEST[-]: +100% Lightning Essence Find\n• [ae92d5]HASTE[-]: +Attack, Harvest, Movement Speed\n• [ae92d5]REGEN[-]: +Health, Stamina, Spirit Regen\n• [ae92d5]FORTUNE[-]: +Loot Bonus and increased Luck",,,,,
spellcastAmmo_FireName,buffs,Buff,,x,Fire Spell,,,,,
spellcastAmmo_FireDesc,buffs,Buff,,x,Requires Spell Fire,,,,,
spellcastAmmo_Fire2Name,buffs,Buff,,x,Firenado Spell,,,,,
spellcastAmmo_Fire2Desc,buffs,Buff,,x,Requires Spell Firenado,,,,,
spellcastAmmo_Fire3Name,buffs,Buff,,x,Meteor Spell,,,,,
spellcastAmmo_Fire3Desc,buffs,Buff,,x,Requires Spell Meteor,,,,,
buffSorceryIntroName,buffs,Buff,,x,"Blessed by The Elders",,,,,,,,,,,,,,
buffSorceryIntroDesc,buffs,Buff,,x,"Chosen by The Elders to perform impossible feats, you've received their blessing to aid your Ascension. Make haste to prove yourself worthy, as this blessing won't last forever:\n• Spell [ae92d5]Casting Speed[-] increased for a limited time\n• Spell [ae92d5]Charging Speed[-] increased for a limited time\n• Fire [2f9970]Essence[-]: Fire Ore, Trees, Wisps, Wasteland Biome\n• Ice [2f9970]Essence[-]: Ice Ore, Trees, Wisps, Snow Biome\n• Lightning [2f9970]Essence[-]: Lightning Ore, Trees, Wisps, Desert Biome\nGood luck, Initiate... you're gonna need it to survive what's to come!  [I][d1d1d1]Unknown Elder[-][/I]",,,,,,,,,,,,,,
spellcastFire_ExplosiveShieldName,buffs,Buff,,x,"Explosive Shield",,,,,,,,,,,,,,
spellcastFire_ExplosiveShieldDesc,buffs,Buff,,x,"This is a Fire Spellcast Weapon [36dc2a]Primary[-] Ability. Spell Charges grant an Explosive Shield that burns and explodes attackers while raising your defenses. Your [ae92d5]{cvar(.spellcastFire_ExplosiveShield:0)}[-] Fire Charge(s) is granting you [ae92d5]{cvar(.spellcastFire_ExplosiveShield_count:0)}%[-] increased defenses against Physical and Elemental damage.\n[d1d1d1][I][U]Unlock Abilities via Fire Spellcast Perk[/U]:[/I][-]\n[I][36dc2a]Primary[-]: Hold Primary Action to use[/I]\n[I][407fff]Secondary[-]: Hold Secondary Action to use[/I]",,,,,,,,,,,,,,
spellcastIce_ShieldName,buffs,Buff,,x,"Freezing Shield",,,,,,,,,,,,,,
spellcastIce_ShieldDesc,buffs,Buff,,x,"This is an Ice Spellcast Weapon [36dc2a]Primary[-] Ability. Spell Charges grant a Freezing Shield that [I]Chills and Freezes[/I] attackers while raising your defenses. Your [ae92d5]{cvar(.spellcastIce_Shield:0)}[-] Ice Charge(s) is granting you [ae92d5]{cvar(.spellcastIce_Shield_count:0)}%[-] increased defenses against Physical and Elemental damage.\n[d1d1d1][I][U]Unlock Abilities via Ice Spellcast Perk[/U]:[/I][-]\n[I][36dc2a]Primary[-]: Hold Primary Action to use[/I]\n[I][407fff]Secondary[-]: Hold Secondary Action to use[/I]",,,,,,,,,,,,,,
spellcastLightning_ShieldName,buffs,Buff,,x,"Electric Shield",,,,,,,,,,,,,,
spellcastLightning_ShieldDesc,buffs,Buff,,x,"This is a Lightning Spellcast Weapon [36dc2a]Primary[-] Ability. Spell Charges grant an Electric Shield that [I]Shocks and Electrocutes[/I] attackers while raising your defenses. Your [ae92d5]{cvar(.spellcastLightning_Shield:0)}[-] Lightning Charge(s) is granting you [ae92d5]{cvar(.spellcastLightning_Shield_count:0)}%[-] increased defenses against Physical and Elemental damage.\n[d1d1d1][I][U]Unlock Abilities via Lightning Spellcast Perk[/U]:[/I][-]\n[I][36dc2a]Primary[-]: Hold Primary Action to use[/I]\n[I][407fff]Secondary[-]: Hold Secondary Action to use[/I]",,,,,,,,,,,,,,

buffSorcerySupportPerkSilverName,buffs,Buff,,x,"[d7dce4]Silver[-] Supporter",,,,,,,,,,,,,,
buffSorcerySupportPerkSilverDesc,buffs,Buff,,x,"Thank you! Your Support ensures ongoing development:\n• [d7dce4]Supporter Access[-]: Exclusive Supporter Perks\n• [d7dce4]x4 Voting Weight[-]: All Polls + Supporter-Exclusive Polls\n• [d7dce4]Essence Hunter[-]: [36dc2a]+50%[-] All Essence Find\n• [d7dce4]Lucky[-]: [36dc2a]+15%[-] Rare Loot, Treasure, Bartering\n• [d7dce4]Traveler[-]: [36dc2a]+10%[-] Movement Speed\n• [d7dce4]Silver Key[-]: [36dc2a]Unlock[-] Supporter Craftables: [I]Class Runes, Grimoires, Portals and more.[/I]\n[d1d1d1][I][U]Thank you for Supporting Development[/U]:[/I][-] [36dc2a]www.SorceryMod.com[-]",,,,,,,,,,,,,,
buffSorcerySupportPerkGoldName,buffs,Buff,,x,"[e3bb70]Gold[-] Supporter",,,,,,,,,,,,,,
